,account_value,reward,actions,n_shares
0,1000000.0,4.616419999976642,"[ 98  97 100   0 100   0 100 100 100   0   0   0  52   0   0   0  17   0
   0  39   0  96 100   0 100   0 100 100   0   0]",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
1,1000004.61642,672.6805999998469,"[   2  -56  100    0    3   12 -100  100   15    0  100    0  100    5
    0  100  -17    0  100  -39    0  -24  -99    0  100    0   16   55
    0  100]","[ 98  97 100   0 100   0 100 100 100   0   0   0  52   0   0   0  17   0
   0  39   0  96 100   0 100   0 100 100   0   0]"
2,1000677.2970199998,-662.5480700001353,"[  45  -25  100  100 -100  -12  100  -23  -50    0  -47    0   70  100
   36  100  100    0  100    0    0    9  100   35  100   69  100   -3
    0  -24]","[100  41 200   0 103  12   0 200 115   0 100   0 152   5   0 100   0   0
 100   0   0  72   1   0 200   0 116 155   0 100]"
3,1000014.7489499997,1102.4108600000618,"[ 100  100   85  -68   -3    0 -100   93  100    0   40    0  -65  -51
  100   26 -100    0  100  100    0  -79  100  100 -100  100  -63  100
   20   94]","[145  16 300 100   3   0 100 177  65   0  53   0 222 105  36 200 100   0
 200   0   0  81 101  35 300  69 216 152   0  76]"
4,1001117.1598099997,196.1200299995253,"[ 100 -100  100  -32  100   10    0  100  -23    0  100    0  -70  100
 -100  100    0   56  100 -100    0  100   66 -100  -83  100  -63  100
   49  -43]","[245 116 385  32   0   0   0 270 165   0  93   0 157  54 136 226   0   0
 300 100   0   2 201 135 200 169 153 252  20 170]"
5,1001313.2798399993,697.0336299999617,"[ -73  100  -93   96 -100   12   96  -80  100    0 -100    0   92  100
  100   40  100  -56   -1    0    0  100    5   11  100   38  100   -3
  -69 -100]","[345  16 485   0 100  10   0 370 142   0 193   0  87 154  36 326   0  56
 400   0   0 102 267  35 117 269  90 352  69 127]"
6,1002010.3134699992,-684.2362399999984,"[ 100 -100  100  -96  100   81  100   -5 -100  100  -93    0  100   -4
   75  100  100    0  100  100    0 -100   35   12  -93 -100 -100   77
  100  -27]","[272 116 392  96   0  22  96 290 242   0  93   0 179 254 136 366 100   0
 399   0   0 202 272  46 217 307 190 349   0  27]"
7,1001326.0772299992,661.6951700001955,"[   4  -16   69  100   18   10  -74  100  100 -100    0    0   75  -51
  -35  -22 -100   52 -100  -81    0  -43  -24   57  100  100  -30 -100
  -60    0]","[372  16 492   0 100 103 196 285 142 100   0   0 279 250 211 466 200   0
 499 100   0 102 307  58 124 207  90 426 100   0]"
8,1001987.7723999994,-955.614620000124,"[ 100    0  -64   35   66 -100  -88  -83   50    0  100    0  100  100
  -42   86 -100   55  -13  -19    0   22  100   59 -100    8  -40 -100
  -25  100]","[376   0 561 100 118 113 122 385 242   0   0   0 354 199 176 444 100  52
 399  19   0  59 283 115 224 307  60 326  40   0]"
9,1001032.1577799993,3757.36884000001,"[  97    0   48 -100  100   80   91 -100   42    0 -100  100  100  100
 -100 -100  100  -51  -69   53  100  -81  100 -100 -100  100   70  -19
  -15  100]","[476   0 497 135 184  13  34 302 292   0 100   0 454 299 134 530   0 107
 386   0   0  81 383 174 124 315  20 226  15 100]"
