,account_value,reward,actions,n_shares
0,968561.0776499995,-6511.780730000115,"[  83    0 -100    0 -100    0    0    0    0    1  -80    0  100    0
    0    0    0    0  100  -32  100  100 -100    0  -60  100  100  100
 -100  100]","[1543  243 1881 1342  771    0  483 1884  200    0  194  139 1499 2469
  260 3194  141    0 1832  316   55  757  780    0   77  482   77  298
  947  825]"
1,962049.2969199994,998.2426200000336,"[  23 -100  -69  100  -92    0 -100   95 -100   -1 -100 -100  100 -100
  100  -86   28    0  -68  100  100  -25  100  100  100  -91  -64  100
   67 -100]","[1626  243 1781 1342  671    0  483 1884  200    1  114  139 1599 2469
  260 3194  141    0 1932  284  155  857  680    0   17  582  177  398
  847  925]"
2,963047.5395399994,398.4765400001779,"[  33   78  -13  100  -99    0   55  100  100   42  100   -7  -98 -100
  100  -65    3    0   18 -100  100   93  -99  100   29 -100  -75  -35
   -4  -30]","[1649  143 1712 1442  579    0  383 1979  100    0   14   39 1699 2369
  360 3108  169    0 1864  384  255  832  780  100  117  491  113  498
  914  825]"
3,963446.0160799996,-1153.0358000000706,"[   1  100 -100 -100   27  100 -100  100    0  -42   59  100  -89  -88
   62  100  100    0 -100  100   -5  -23  -79   92   -4  -90  -38   15
 -100  100]","[1682  221 1699 1542  480    0  438 2079  200   42  114   32 1601 2269
  460 3043  172    0 1882  284  355  925  681  200  146  391   38  463
  910  795]"
4,962292.9802799996,-12034.72219999996,"[-100  -41    0    8  -31 -100    0  100    1    0    0 -100    0  100
  100  100  -20  100  100    0 -100  100 -100  100 -100  -19    0  100
  -35 -100]","[1683  321 1599 1442  507  100  338 2179  200    0  173  132 1512 2181
  522 3143  272    0 1782  384  350  902  602  292  142  301    0  478
  810  895]"
5,950258.2580799996,-3403.825910000247,"[-100  -35  -15  100  100  100  -31  -23 -100  100  -58   94  -90    0
 -100  -14 -100 -100  100  100  -86    3  100    0  100  -95    0   25
   86  100]","[1583  280 1599 1450  476    0  338 2279  201    0  173   32 1512 2281
  622 3243  252  100 1882  384  250 1002  502  392   42  282    0  578
  775  795]"
6,946854.4321699993,2091.8754800001625,"[ -66 -100  100    0 -100   -6 -100  -45 -100    7  -51    0  100    0
    0  -82  100    0    0  -66  -83  100 -100  -58 -100  -35  100  100
  100  -39]","[1483  245 1584 1550  576  100  307 2256  101  100  115  126 1422 2281
  522 3229  152    0 1982  484  164 1005  602  392  142  187    0  603
  861  895]"
7,948946.3076499995,-4043.2269699998433,"[   0    0    0  100    0    0    0  -57   -1  -44  -64 -100  -75   30
    0  -23 -100    0  100    0  -81    0    0  100  -42  100    0    0
    0    0]","[1417  145 1684 1550  476   94  207 2211    1  107   64  126 1522 2281
  522 3147  252    0 1982  418   81 1105  502  334   42  152  100  703
  961  856]"
8,944903.0806799997,-1883.6974000000628,"[-100   -5  100   36 -100  100 -100   23    0  -63    0  -26 -100 -100
  100 -100 -100    0  100 -100    6 -100 -100  100    0  -41  100  -24
  -68   85]","[1417  145 1684 1650  476   94  207 2154    0   63    0   26 1447 2311
  522 3124  152    0 2082  418    0 1105  502  434    0  252  100  703
  961  856]"
9,943019.3832799996,-6272.210610000067,"[-100    0  100    0  -60  -27 -100  100    0    0    0    0  -34  100
  100  100  -52    0    0   95   -6 -100 -100  100   13  -63    0  -58
 -100  100]","[1317  140 1784 1686  376  194  107 2177    0    0    0    0 1347 2211
  622 3024   52    0 2182  318    6 1005  402  534    0  211  200  679
  893  941]"
