,account_value,reward,actions,n_shares
0,1441151.4475300044,-5083.4922400000505,"[ 100   97  -46  100  100  -51 -100 -100 -100 -100  -94  -72 -100    0
  100   89 -100  100  -58  -36  -62  -45  100  -71  -84  -19  -34   24
  100  100]","[ 100    9  948  646   10  531 2156  651  438 2317  393  617  375    0
 2846  342 1664    0 1212   36  207  648  405  669 5818 2416  370 1731
 2853 1918]"
1,1436067.9552900044,-7975.915899999673,"[ -56  -63 -100  -78   -6  100  100   10  100 -100  -26 -100   58    0
    9  100  100  100   92    0  100  100 -100   87 -100   95  -41   96
  100  100]","[ 200  106  902  746  110  480 2056  551  338 2217  299  545  275    0
 2946  431 1564  100 1154    0  145  603  505  598 5734 2397  336 1755
 2953 2018]"
2,1428092.0393900047,1623.5626699996646,"[ -16  -24  -27 -100  -23  -52    4 -100  100   97  100 -100  100    0
   46  100 -100  -93  -59    0  100  -77   91 -100   -9  -41  100  100
    4  100]","[ 144   43  802  668  104  580 2156  561  438 2117  273  445  333    0
 2955  531 1664  200 1246    0  245  703  405  685 5634 2492  295 1851
 3053 2118]"
3,1429715.6020600044,-1793.096789999865,"[  93   56  100   76   91 -100   93 -100  100   58    0 -100   86    1
  100    0 -100 -100   14    0  100  100    0  100   -9   98  100   70
 -100  -80]","[ 128   19  775  568   81  528 2160  461  538 2214  373  345  433    0
 3001  631 1564  107 1187    0  345  626  496  585 5625 2451  395 1951
 3057 2218]"
4,1427922.5052700045,9201.034660000121,"[   1   -4    0  -60    0    0  -71 -100 -100  -31   77 -100  -53   -1
 -100    0  100  100  -18    0  -70  -44  -71  100    0  100    0 -100
 -100  100]","[ 221   75  875  644  172  428 2253  361  638 2272  373  245  519    1
 3101  631 1464    7 1201    0  445  726  496  685 5616 2549  495 2021
 2957 2138]"
5,1437123.5399300046,6483.709190000081,"[  95   71    2  100  -22  100   42 -100  -31 -100    4 -100  -99    0
  -38  100  -12   67 -100    2  -53  100  100  -78 -100 -100  100  100
 -100  -36]","[ 222   71  875  584  172  428 2182  261  538 2241  450  145  466    0
 3001  631 1564  107 1183    0  375  682  425  785 5616 2649  495 1921
 2857 2238]"
6,1443607.2491200047,2457.166679999791,"[ -93  -79 -100  -11    0    0   86  100  -50   76    0  100    0    0
  -69  100   40   92    0   73    5   -2  100    0 -100   93 -100  -74
    0  100]","[ 317  142  877  684  150  528 2224  161  507 2141  454   45  367    0
 2963  731 1552  174 1083    2  322  782  525  707 5516 2549  595 2021
 2757 2202]"
7,1446064.4158000045,19986.074389999965,"[ -18  -63  100 -100   71 -100  100  100 -100  -28   27 -100 -100   45
 -100  100  100   36   88  -75  100  -90  100  -26 -100    0  -60  -67
  -14 -100]","[ 224   63  777  673  150  528 2310  261  457 2217  454  145  367    0
 2894  831 1592  266 1083   75  327  780  625  707 5416 2642  495 1947
 2757 2302]"
8,1466050.4901900045,-12228.190149999922,"[  64    0  100  100   15   74  -54  -18 -100   43   24  -45  100  -26
  -62  -84 -100  100  100    0   -4  -15 -100   60  100   -8  -44  100
 -100 -100]","[ 206    0  877  573  221  428 2410  361  357 2189  481   45  267   45
 2794  931 1692  302 1171    0  427  690  725  681 5316 2642  435 1880
 2743 2202]"
9,1453822.3000400045,3622.6874300003983,"[ -49    0   36    0    0  -15    1    0    0    0    0    0    0  -19
  100    0  -19  -36  100    0  100    0  100  100    0  100    0 -100
    0 -100]","[ 270    0  977  673  236  502 2356  343  257 2232  505    0  367   19
 2732  847 1592  402 1271    0  423  675  625  741 5416 2634  391 1980
 2643 2102]"
10,1457444.987470005,-38308.97734000045,"[-100  100 -100   17    4  -98  100  -36   79   72  -21    0 -100   40
   -6  100 -100  -68 -100    0  -11   30 -100  -91  100   51   49 -100
  100  100]","[ 221    0 1013  673  236  487 2357  343  257 2232  505    0  367    0
 2832  847 1573  366 1371    0  523  675  725  841 5416 2734  391 1880
 2643 2002]"
11,1419136.0101300045,23433.849200000055,"[ -73   93   81  100  100  -27   97  100   95 -100   24    0  -44    1
  100    0  100  100  -49    0  -31   68  -20   81    0 -100 -100 -100
 -100 -100]","[ 121  100  913  690  240  389 2457  307  336 2304  484    0  267   40
 2826  947 1473  298 1271    0  512  705  625  750 5516 2785  440 1780
 2743 2102]"
12,1442569.8593300045,11850.3358,"[  -9  100    8  -86  100  100  -95 -100 -100 -100  -15   91 -100   46
  -12  100 -100  100 -100   48 -100 -100   74   -3 -100 -100  100 -100
   41   34]","[  48  193  994  790  340  362 2554  407  431 2204  508    0  223   41
 2926  947 1573  398 1222    0  481  773  605  831 5516 2685  340 1680
 2643 2002]"
13,1454420.1951300045,-592.6133800002281,"[ -39 -100   -2  -79  -75  -88   96  -81 -100 -100  100  -91   58  -87
   71  100   84  -61 -100   92  100   13   60  100  100   63 -100   65
  -73 -100]","[  39  293 1002  704  440  462 2459  307  331 2104  493   91  123   87
 2914 1047 1473  498 1122   48  381  673  679  828 5416 2585  440 1580
 2684 2036]"
14,1453827.5817500043,10449.536510000238,"[   0  -45 -100 -100  -26  100 -100   27 -100  100    4    0   86    0
  100 -100 -100  100 -100 -100   29  -43  100   30  100  100  100  100
   60  -55]","[   0  193 1000  625  365  374 2555  226  231 2004  593    0  181    0
 2985 1147 1557  437 1022  140  481  686  739  928 5516 2648  340 1645
 2611 1936]"
15,1464277.1182600046,4798.388879999984,"[   0  -17  100  100  100  -92  -51  -32  -36 -100   11   60  100    0
 -100  100  -33  100   90  -40  100    3    0 -100  -54  100  -50 -100
  100    7]","[   0  148  900  525  339  474 2455  253  131 2104  597    0  267    0
 3085 1047 1457  537  922   40  510  643  839  958 5616 2748  440 1745
 2671 1881]"
16,1469075.5071400045,5225.8329500001855,"[ 100  100  -75   15  100  -75   56   -7  -95 -100  -22   60  -67    5
 -100   41 -100  100 -100    0   30  100  100  100  100  100 -100 -100
  100 -100]","[   0  131 1000  625  439  382 2404  221   95 2004  608   60  367    0
 2985 1147 1424  637 1012    0  610  646  839  858 5562 2848  390 1645
 2771 1888]"
17,1474301.3400900047,-2633.7243300001137,"[-100   69  100  100 -100  -13   67   37    0 -100  100   52   44  100
  100   36  100  100 -100   15   13  100  100  100  -59 -100   -8   23
  -98  100]","[ 100  231  925  640  539  307 2460  214    0 1904  586  120  300    5
 2885 1188 1324  737  912    0  640  746  939  958 5662 2948  290 1545
 2871 1788]"
18,1471667.6157600046,-7942.433130000252,"[   0  -95   95  100  100  -10  -95  -27   76  -29 -100   39  100   54
   -7  100   15  -63   18  -15  -49  -86    2  100 -100   41   81  100
   38 -100]","[   0  300 1025  740  439  294 2527  251    0 1804  686  172  344  105
 2985 1224 1424  837  812   15  653  846 1039 1058 5603 2848  282 1568
 2773 1888]"
19,1463725.1826300044,22878.08686000039,"[  59  100  -80 -100  100    2   92 -100  -76  -60  100  -22  100 -100
  100  100  100 -100 -100   34   69  100   91  -36  -26   81  100  100
   75  100]","[   0  205 1120  840  539  284 2432  224   76 1775  586  211  444  159
 2978 1324 1439  774  830    0  604  760 1041 1158 5503 2889  363 1668
 2811 1788]"
20,1486603.2694900047,18138.491389999865,"[ -59 -100  -35  -10  -78  100    5   96    0  100 -100  -26    0  100
  -57 -100 -100  -16   34  100 -100   50  100  -55  100  100 -100 -100
 -100   33]","[  59  305 1040  740  639  286 2524  124    0 1715  686  189  544   59
 3078 1424 1539  674  730   34  673  860 1132 1122 5477 2970  463 1768
 2886 1888]"
21,1504741.7608800046,16663.03391,"[   0  -42  100 -100   89   -8  100 -100   13   28 -100   91    0  100
   36  100   98 -100  -75 -100 -100  -64   17   82 -100 -100 -100  100
  100  100]","[   0  205 1005  730  561  386 2529  220    0 1815  586  163  544  159
 3021 1324 1439  658  764  134  573  910 1232 1067 5577 3070  363 1668
 2786 1921]"
22,1521404.7947900046,12516.074139999924,"[   0  100 -100  -17  100  -65  -57  -63  100  100  100   65   78  -87
  100  100   92 -100   54  -34  100  -55 -100 -100  -71  -72   88  -79
  100   37]","[   0  163 1105  630  650  378 2629  120   13 1843  486  254  544  259
 3057 1424 1537  558  689   34  473  846 1249 1149 5477 2970  263 1768
 2886 2021]"
