,account_value,reward,actions,n_shares
0,1563128.5123999994,-11876.63021000009,"[  -6    0  -66    0    0    0    0    0    0    0    0    0 -100    0
    0    0    0    0    1    0 -100    0    0  -76    0  100   49    0
  -27    0]","[   6 4500 3295    0    0 1287    0    0    0    0    0    0 1965    0
    0    0 4652  336    0 3584 3343    0    0 3672    0 2732    0    0
 8507    0]"
1,1551251.8821899993,-26369.665289999684,"[  0   0   0   0   0   0   0   0   0   0   0   0 -26   0   0   0   0  -4
   0   0 -26   0   0   0   0  45   0   0 -24   0]","[   0 4500 3229    0    0 1287    0    0    0    0    0    0 1865    0
    0    0 4652  336    1 3584 3243    0    0 3596    0 2832   49    0
 8480    0]"
2,1524882.2168999997,-27544.34227000014,"[   0  -20 -100    0  100  100    0   10    0    0    0    0    0    0
    0    0    0  -48   -1    0 -100    1    0    0    0    0    0    0
    0    0]","[   0 4500 3229    0    0 1287    0    0    0    0    0    0 1839    0
    0    0 4652  332    1 3584 3217    0    0 3596    0 2877   49    0
 8456    0]"
3,1497337.8746299995,23666.19928000006,"[   1    0    0    0 -100    0    0  -10    0    0    0    0 -100    0
    0    0 -100    0   92  -27 -100   -1    0    1  100    0  100    0
   -2    0]","[   0 4480 3129    0  100 1387    0   10    0    0    0    0 1839    0
    0    0 4652  284    0 3584 3117    1    0 3596    0 2877   49    0
 8456    0]"
4,1521004.0739099996,6030.724829999963,"[  -1    0 -100  100    0  100    0    0    0    0    0    0   23    0
    0    0    0    0  -45  -42  -42    0    0  -72  100    0  -31    1
 -100    0]","[   1 4480 3129    0    0 1387    0    0    0    0    0    0 1739    0
    0    0 4552  284   92 3557 3017    0    0 3597  100 2877  149    0
 8454    0]"
5,1527034.7987399995,18000.72951999982,"[   0 -100 -100  -33    0    0    0    1    0    0    0    0 -100    0
    0    0   13  100    0    0  -44    0    0  -23  -17  100    0   -1
  -32    0]","[   0 4480 3029  100    0 1487    0    0    0    0    0    0 1762    0
    0    0 4552  284   47 3515 2975    0    0 3525  200 2877  118    1
 8354    0]"
6,1545035.5282599994,-30448.149149999954,"[   0    0    0   -4    0    0    0    0    0    0    0    0    0    0
    0    0   35    0    0    2  -87    0    0    0 -100    0    0    0
  100    0]","[   0 4380 2929   67    0 1487    0    1    0    0    0    0 1662    0
    0    0 4565  384   47 3515 2931    0    0 3502  183 2977  118    0
 8322    0]"
7,1514587.3791099994,-9459.070650000125,"[ 100 -100  -89  -62  100 -100    0   -1    0   59    0    0  -95    0
  100    0 -100  -41  -47   22 -100    0   54   50   62  -45  100   34
  -66    0]","[   0 4380 2929   63    0 1487    0    1    0    0    0    0 1662    0
    0    0 4600  384   47 3517 2844    0    0 3502   83 2977  118    0
 8422    0]"
8,1505128.3084599993,18641.197630000068,"[ -58 -100 -100   38  100 -100    0   90    0   49   27   13   38   73
  -12    0  -43  -34  100 -100 -100    0  100   19   59 -100  100  -34
  -60    9]","[ 100 4280 2840    1  100 1387    0    0    0   59    0    0 1567    0
  100    0 4500  343    0 3539 2744    0   54 3552  145 2932  218   34
 8356    0]"
9,1523769.5060899993,16376.578690000111,"[   0  100  -21  -39  -13  -64  100  -32    0  -19  -20    0    1   77
    0    0    0    0 -100    0   -1    0    0    0 -100  100   85    0
  100   -9]","[  42 4180 2740   39  200 1287    0   90    0  108   27   13 1605   73
   88    0 4457  309  100 3439 2644    0  154 3571  204 2832  318    0
 8296    9]"
