,account_value,reward,actions,n_shares
0,1436030.729630002,4399.270229999907,"[   0  100  100  -41 -100    0  100  -70    0    0   53    1    0    0
    0    0    0  100    0  100    0  100 -100  100  100  -81  -59 -100
 -100  -59]","[ 237    0  509  595  359 4820 1030 1513    0  298   18 1145  200  689
    0  366 4091  502  454 4517  745  713  277   60  531  365 1152  924
  434  434]"
1,1440429.999860002,11909.328710000264,"[ 100  -44    0  -47 -100  100 -100  -38  100  -96    0  100 -100    0
  100  100  100  -18    0  100   61  -97  100 -100    0 -100  -78    1
 -100    0]","[ 237  100  609  554  259 4820 1130 1443    0  298   71 1146  200  689
    0  366 4091  602  454 4617  745  813  177  160  631  284 1093  824
  334  375]"
2,1452339.3285700022,-1605.4970800001174,"[ -64    0    0  100  100 -100  100  -40  -49 -100  100   13 -100  -76
  -89    0    0  100 -100 -100  100  100  100  -60  100  100  100  100
    0 -100]","[ 337   56  609  507  159 4920 1030 1405  100  202   71 1246  100  689
  100  466 4191  584  454 4717  806  716  277   60  631  184 1015  825
  234  375]"
3,1450733.831490002,-7340.588460000232,"[ -36  100  100  100  -24  100 -100 -100    1   38  -99   51    0   73
  100  -80  -42  -62   -5   53 -100 -100  -31    0   -4  -70 -100   86
   40  100]","[ 273   56  609  607  259 4820 1130 1365   51  102  171 1259    0  613
   11  466 4191  684  354 4617  906  816  377    0  731  284 1115  925
  234  275]"
4,1443393.2430300019,-9323.275859999703,"[ -67  -98   54    1    6 -100  -38  -73  -22  100  -72  -13    0  100
 -100 -100  -37   -2 -100   76   58  100 -100   23 -100 -100  100  -74
  -81   60]","[ 237  156  709  707  235 4920 1030 1265   52  140   72 1310    0  686
  111  386 4149  622  349 4670  806  716  346    0  727  214 1015 1011
  274  375]"
5,1434069.9671700022,7259.164869999979,"[-100   80 -100 -100   66  -79 -100  100  100  -39  100 -100    0   24
   -3 -100 -100  -68   19   93  -22   41  100  100   15 -100   55  -79
   48  100]","[ 170   58  763  708  241 4820  992 1192   30  240    0 1297    0  786
   11  286 4112  620  249 4746  864  816  246   23  627  114 1115  937
  193  435]"
6,1441329.1320400022,-5339.364169999957,"[  88  100  100 -100   72 -100 -100  -50 -100 -100  100  -22   49  -32
  100  -56  100   16  -18    7   -9 -100  100  -24  -45  -14  100  100
   89   87]","[  70  138  663  608  307 4741  892 1292  130  201  100 1197    0  810
    8  186 4012  552  268 4839  842  857  346  123  642   14 1170  858
  241  535]"
7,1435989.7678700022,990.7347100002225,"[   0    0  -14 -100    0    0    0    0  -30    0    0 -100    0 -100
  -35    0    0    0 -100    0    0  -16   66  -97  100  100  100 -100
  100  100]","[ 158  238  763  508  379 4641  792 1242   30  101  200 1175   49  778
  108  130 4112  568  250 4846  833  757  446   99  597    0 1270  958
  330  622]"
8,1436980.5025800024,-15345.365800000262,"[ 100  100  100 -100  -84   88 -100  100    0 -100  100  100  -49  100
  -73  100    0    0 -100 -100  -94  -91    1   -2  100  100    3 -100
  -69   52]","[ 158  238  749  408  379 4641  792 1242    0  101  200 1075   49  678
   73  130 4112  568  150 4846  833  741  512    2  697  100 1370  858
  430  722]"
9,1421635.1367800022,11308.159130000044,"[-100 -100  100 -100  100 -100  100  -36  100   -1  100   68    0   34
    0 -100 -100  -95  100 -100  -86  100  -30  100   87  100   56  -73
 -100    1]","[ 258  338  849  308  295 4729  692 1342    0    1  300 1175    0  778
    0  230 4112  568   50 4746  739  650  513    0  797  200 1373  758
  361  774]"
10,1432943.2959100022,1134.7251299999189,"[   0    3    0  -86    0    0 -100 -100    0    0  -91    0    0 -100
    0    0   99    0  -53  100  100  100  100 -100    0  100    0 -100
  100 -100]","[ 158  238  949  208  395 4629  792 1306  100    0  400 1243    0  812
    0  130 4012  473  150 4646  653  750  483  100  884  300 1429  685
  261  775]"
11,1434078.0210400021,-6954.145590000087,"[ 100 -100   79  -86  -86   76  100  -77  100    0    6  100    0  -10
  100   72 -100  -23  100  100   -8  100  100  100  100  -86 -100 -100
    0  -55]","[ 158  241  949  122  395 4629  692 1206  100    0  309 1243    0  712
    0  130 4111  473   97 4746  753  850  583    0  884  400 1429  585
  361  675]"
12,1427123.875450002,43317.1681100002,"[ -13  -19  100   19  -74    0 -100  -19  -56    0    0  100  100    0
    0  100    0   -6  -18 -100  100  -52 -100  100    0  100  -19 -100
  -53    0]","[ 258  141 1028   36  309 4705  792 1129  200    0  315 1343    0  702
  100  202 4011  450  197 4846  745  950  683  100  984  314 1329  485
  361  620]"
