,account_value,reward,actions,n_shares
0,1692949.406040001,-7995.9447700001765,"[-100   -9  -24  -17  -50   90 -100  100    0   72  -26  100    0    0
    0 -100 -100  -58  -37    0 -100  -51  -66  100  100   17 -100  -58
 -100  100]","[1652  591  568  818  129    0 1163    0  493  645 5377    0    0  202
    9  239 1635   96 2201  266  310 3655 3373 3959 4070 4248 1818 1624
  317  216]"
1,1684953.4612700008,-16910.644649999915,"[ -42  100  -30  -79  -21   42  -19  -23    0 -100    0  100    0  -32
  100  -88    0   -8    0    0    0    0  100   -7    0    0 -100    4
  100  100]","[1552  582  544  801   79   90 1063  100  493  717 5351  100    0  202
    9  139 1535   38 2164  266  210 3604 3307 4059 4170 4265 1718 1566
  217  316]"
2,1668042.8166200009,7995.101249999832,"[-100    0    1  -30  -58    0    0  -37  -21    0   96  100    0    0
    0  -17    0  100  -82  100  -55  -89  -28  -57    0  100 -100  100
 -100    0]","[1510  682  514  722   58  132 1044   77  493  617 5351  200    0  170
  109   51 1535   30 2164  266  210 3604 3407 4052 4170 4265 1618 1570
  317  416]"
3,1676037.9178700007,-3198.268810000038,"[ -52   43 -100  100    0  100    0  -35 -100  -48  100  100    0    0
    0  -34  -83    0    0    0  100 -100 -100    0    0  100 -100 -100
    1  100]","[1410  682  515  692    0  132 1044   40  472  617 5447  300    0  170
  109   34 1535  130 2082  366  155 3515 3379 3995 4170 4365 1518 1670
  217  416]"
4,1672839.6490600007,15539.80071000033,"[-100   88  -71  -54    0    0 -100   -5    0  -30    0    0    0  100
    0    0 -100  100    0    0  -95  100 -100    0    0  100  -41  100
   21  100]","[1358  725  415  792    0  232 1044    5  372  569 5547  400    0  170
  109    0 1452  130 2082  366  255 3415 3279 3995 4170 4465 1418 1570
  218  516]"
5,1688379.449770001,2406.2646499997936,"[-100  100  -44   55    0 -100 -100    0   -2  100  -33  100    0  -44
   75    0  -16    0  -90  100  -29  -29  -80 -100    0  100   72 -100
    1  100]","[1258  813  344  738    0  232  944    0  372  539 5547  400    0  270
  109    0 1352  230 2082  366  160 3515 3179 3995 4170 4565 1377 1670
  239  616]"
6,1690785.7144200008,2705.0922900000587,"[-100  100   49 -100    0  100 -100   10    0 -100  -41   23   18   43
  100    0 -100   75  -36  -51 -100 -100  -21  100   15  100 -100    0
  100  -14]","[1158  913  300  793    0  132  844    0  370  639 5514  500    0  226
  184    0 1336  230 1992  466  131 3486 3099 3895 4170 4665 1449 1570
  240  716]"
7,1693490.8067100008,12986.003960000118,"[ -81  100  100  -24    0 -100 -100  -10  -22    0   70  -19  100  -30
   -1    0 -100  100    0  100    0  -25 -100  -42   -5  100  -59  100
  100  100]","[1058 1013  349  693    0  232  744   10  370  539 5473  523   18  269
  284    0 1236  305 1956  415   31 3386 3078 3995 4185 4765 1349 1570
  340  702]"
8,1706476.810670001,-17334.37563000014,"[-100    0  100  -66    0    0 -100   29   23 -100   84    0  -84  -27
  -58    0  -18   90 -100   18  -31  100 -100  100  -16  100   25   21
  -37   60]","[ 977 1113  449  669    0  132  644    0  348  539 5543  504  118  239
  283    0 1136  405 1956  515   31 3361 2978 3953 4180 4865 1290 1670
  440  802]"
9,1689142.4350400008,14106.390520000365,"[ -47    0  -90    0    0    0    0    0  -68 -100    0  100  -24   49
  -91    0  100    0    0  100    0    1    0    0  100  100 -100    0
  -12    0]","[ 877 1113  549  603    0  132  544   29  371  439 5627  504   34  212
  225    0 1118  495 1856  533    0 3461 2878 4053 4164 4965 1315 1691
  403  862]"
10,1703248.8255600012,-64348.59852000023,"[-100  100    0  -33    0  -45   77  -29  -24    0  100  100   -6  100
   84    0 -100   15    0   77    0    0  -17 -100 -100   83 -100   93
  -62  100]","[ 830 1113  459  603    0  132  544   29  303  339 5627  604   10  261
  134    0 1218  495 1856  633    0 3462 2878 4053 4264 5065 1215 1691
  391  862]"
11,1638900.227040001,25936.50304999971,"[-100  100    2    0    0  -69   47   92  -24   80  -71 -100   91   45
  100    0    3   86 -100    4    0   -4 -100  100   63  100  -88  100
 -100 -100]","[ 730 1213  459  570    0   87  621    0  279  339 5727  704    4  361
  218    0 1118  510 1856  710    0 3462 2861 3953 4164 5148 1115 1784
  329  962]"
