,account_value,reward,actions,n_shares
0,1081963.4091321763,-13428.395117988577,"[-20   0  68  74   0  78 -33   0  81   0   0   0  92   0   0   0  59   0
   0 -39  13 -92 -14   0  -3  69   0   0 -97   1]","[ 531 1126  171   87  278  391  343    0   72    0  145    0  550  152
    0  212   84  259  242   81   19  120   14   40  251   34    0   19
  191  508]"
1,1068535.0140141877,-1596.7024657439906,"[ -7 -47   0   0 -66 -79  85   0   0  94   0   0   0   0   0   0   0   0
   0  51   0  90   0  -4   0   0   0 -19   0 -27]","[ 511 1126  239  161  278  469  310    0  153    0  145    0  642  152
    0  212  143  259  242   42   32   28    0   40  248  103    0   19
   94  509]"
2,1066938.3115484437,1723.5814800320659,"[-53 -50  21 -57 -95 -97  51   0   7  20 -79  13 -50  50   0  98 -84  68
  85  10 -28  48  91  30 -88  41   0   0  15 -26]","[ 504 1079  239  161  212  390  395    0  153   94  145    0  642  152
    0  212  143  259  242   93   32  118    0   36  248  103    0    0
   94  482]"
3,1068661.8930284758,-2963.942163852742,"[-87 -79 -28  88 -46 -97 -88  47 -51  58 -66 -13  47  53   0 -28  53  19
  12  25  -4   6 -81 -21 -98 -42  68   0  33   8]","[ 451 1029  260  104  117  293  446    0  160  114   66   13  592  202
    0  310   59  327  327  103    4  166   91   66  160  144    0    0
  109  456]"
4,1065697.950864623,-9885.179090686841,"[-78 -67   8  -6  24 -56  82 -34  39 -62  75  26 -50  56  81 -61 -70 -60
  19 -17  62  93 -10 -45 -13   0 -12   0  64  31]","[364 950 232 192  71 196 358  47 109 172   0   0 639 255   0 282 112 346
 339 128   0 172  10  45  62 102  68   0 142 464]"
5,1055812.7717739362,-1042.5342806586996,"[ 11  81 -23 -80  29  52 -62  52   9 -46 -46  44 -19  29  -1 -34  12  66
  56 -38 -62 -80  82   0 -31  53 -40   0 -15 -83]","[286 883 240 186  95 140 440  13 148 110  75  26 589 311  81 221  42 286
 358 111  62 265   0   0  49 102  56   0 206 495]"
6,1054770.2374932775,10925.874618068803,"[-47  99  31  -8 -26   6 -84  92  16   3  21  31 -94  56  87  61  41   3
 -13 -73  61 -13  60   0 -18 -69  58  52  79 -18]","[297 964 217 106 124 192 378  65 157  64  29  70 570 340  80 187  54 352
 414  73   0 185  82   0  18 155  16   0 191 412]"
7,1065696.1121113463,-2446.8630567740183,"[-53  -4  14   8  49  11 -88  69  42 -13  45 -38   2  33 -91  -6  90  50
  70  22 -61 -85  72  48  18 -69 -74 -52  64 -68]","[ 250 1063  248   98   98  198  294  157  173   67   50  101  476  396
  167  248   95  355  401    0   61  172  142    0    0   86   74   52
  270  394]"
8,1063249.2490545723,-2308.354294139892,"[ 97  62  66   4 -99  64 -32  13  11 -34  65  98 -94 -48  68 -28 -38  62
  59  11  67  17  86 -48 -18  75  25   0  -1  13]","[ 197 1059  262  106  147  209  206  226  215   54   95   63  478  429
   76  242  185  405  471   22    0   87  214   48   18   17    0    0
  334  326]"
9,1060940.8947604324,14460.322476247791,"[-86   7  27  31 -48 -52 -22  55  72  51   7 -49  67  80 -29  86 -86 -51
  74  60  36 -69  53   7  13  90 -25   7 -79 -78]","[ 294 1121  328  110   48  273  174  239  226   20  160  161  384  381
  144  214  147  467  530   33   67  104  300    0    0   92   25    0
  333  339]"
10,1075401.2172366802,6545.472114572534,"[ 58  63  42   0   0 -97 -97  22  99 -19 -98   0 -52 -31  85 -51  89   0
 -28 -57  69 -35  73  59   0  74   0  -7   0  40]","[ 208 1128  355  141    0  221  152  294  298   71  167  112  451  461
  115  300   61  416  604   93  103   35  353    7   13  182    0    7
  254  261]"
11,1081946.6893512527,-9910.396886945702,"[-26  -5 -71 -75  45 -14  45 -30  51 -36   4  84 -20 -94 -80 -67  61   0
 -60  29 -24  15 -59 -46 -13 -17  79   0  98 -16]","[ 266 1191  397  141    0  124   55  316  397   52   69  112  399  430
  200  249  150  416  576   36  172    0  426   66   13  256    0    0
  254  301]"
12,1072036.292464307,-26517.626767248148,"[-70   0  -3   0 -44 -31  82   3 -65   0  97 -74   0 -14  87   0 -88  59
  60 -52 -70 -15 -81  -7   0 -78  53   0   0 -41]","[ 240 1186  326   66   45  110  100  286  448   16   73  196  379  336
  120  182  211  416  516   65  148   15  367   20    0  239   79    0
  352  285]"
13,1045518.6656970589,6026.313649148913,"[ 53 -76 -59 -23   9  15  48 -78  40  -9 -32 -39 -66 -95  11  61 -64  49
  67   0 -17   0  87 -13  49  30   0  34  55  33]","[ 170 1186  323   66    1   79  182  289  383   16  170  122  379  322
  207  182  123  475  576   13   78    0  286   13    0  161  132    0
  352  244]"
14,1051544.9793462078,-19896.37464973447,"[ 59 -88 -83  45  36 -24 -73 -86  51   0  53  99 -12 -86  82  -8 -40 -90
  62  63 -19   0  72   0 -33  52  -8  10  22 -18]","[ 223 1110  264   43   10   94  230  211  423    7  138   83  313  227
  218  243   59  524  643   13   61    0  373    0   49  191  132   34
  407  277]"
15,1031648.6046964733,-2838.6274018401746,"[ 32   6  91 -88  82  -9  -6 -24  34  -7 -88  -9 -53   7 -65  63  91 -85
  94  52 -42  11  -9   0 -16  46  15  88 -67  92]","[ 282 1022  181   88   46   70  157  125  474    7  191  182  301  141
  300  235   19  434  705   76   42    0  445    0   16  243  124   44
  429  259]"
