,account_value,reward,actions,n_shares
0,9917931.877897102,-30506.843726271763,"[-18  37 -53 -31  46  17  -6 -58  57 -53 -27   3  22   0   0   0  -6  13
 -20  -6  62 -39  27 -53  72  22  95  88   0  26]","[ 18   0 224 158 104  53 113  99   0 142  45 294  68 182   0   0 148   0
  20   6   8 126 128  53 127  47 156 161   0   0]"
1,9887425.03417083,27908.837916586548,"[  0   0   0   0 -45   0 -11 -41   0   0  34   0 -23 -12   0   0   0   0
   0   0 -21 -10 -19   0  21   3 -29   0   0   0]","[  0  37 171 127 150  70 107  41  57  89  18 297  90 182   0   0 142  13
   0   0  70  87 155   0 199  69 251 249   0  26]"
2,9915333.872087417,-28728.011506630108,"[  0  94 -25 -97 -93   1 -41  94  64 -15 -11 -91  56 -66   3   0   0 -13
   0   0   0 -59 -99  89   0 -42  -3  33  68  23]","[  0  37 171 127 105  70  96   0  57  89  52 297  67 170   0   0 142  13
   0   0  49  77 136   0 220  72 222 249   0  26]"
3,9886605.860580787,-65114.177577827126,"[  0   0 -79   0 -12   0 -23  99   0 -74   0   0 -24   0  -3   0   0   0
   0  84 -49 -18 -35 -26 -60  -7 -86  27   0   0]","[  0 131 146  30  12  71  55  94 121  74  41 206 123 104   3   0 142   0
   0   0  49  18  37  89 220  30 219 282  68  49]"
4,9821491.68300296,20607.35360299796,"[ 56  36 -17  89  86 -71  25  84 -57   0 -34 -44 -75 -41  23   0 -95  21
   0 -57  79  90  -2 -14 -60 -23  59  61 -57 -20]","[  0 131  67  30   0  71  32 193 121   0  41 206  99 104   0   0 142   0
   0  84   0   0   2  63 160  23 133 309  68  49]"
5,9842099.036605958,-7850.416207931936,"[-56 -81  85  13 -11  27 -54 -70  70   0  40 -32 -24  94  65  31 -23   3
  97 -27  63 -61   0   8  63  97 -79 -10  15  59]","[ 56 167  50 119  86   0  57 277  64   0   7 162  24  63  23   0  47  21
   0  27  79  90   0  49 100   0 192 370  11  29]"
6,9834248.620398026,-19339.59105857089,"[ 79  43  48 -72  27   5  13  30  37   0  28 -63   0 -71 -50 -31 -24  91
  16   0  52  57   0  76  58  62 -70 -21 -26 -88]","[  0  86 135 132  75  27   3 207 134   0  47 130   0 157  88  31  24  24
  97   0 142  29   0  57 163  97 113 360  26  88]"
7,9814909.029339455,52190.23266849667,"[-79 -33 -74  19 -24 -32 -16 -24  23  10  22  70  27 -40 -38   0  29 -98
 -70  88 -25 -26   0  37 -14 -94  22  35   0   0]","[ 79 129 183  60 102  32  16 237 171   0  75  67   0  86  38   0   0 115
 113   0 194  86   0 133 221 159  43 339   0   0]"
8,9867099.262007952,25361.708420975134,"[  0 -91  57 -39  22   5   0  22  71 -10 -62  53 -27  -4   0   0  18  95
  28  46 -73 -47   0   2   1 -65 -65  58   0  98]","[  0  96 109  79  78   0   0 213 194  10  97 137  27  46   0   0  29  17
  43  88 169  60   0 170 207  65  65 374   0   0]"
9,9892460.970428927,-206990.51185679622,"[  0  -5  27 -36 -96  -5  19  28 -86  61   0 -99   9 -42   0  35   9 -20
 -22  26   1  88   0 -92 -18   0   1  19  32   0]","[  0   5 166  40 100   5   0 235 265   0  35 190   0  42   0   0  47 112
  71 134  96  13   0 172 208   0   0 432   0  98]"
10,9685470.45857213,-162073.30573617667,"[ 43  70  67  -4  -4   0  43  85  11  41 -35  52  84   0   0 -35   2  56
  85  -4  41  21   0 -34  83  84  45   5 -32 -59]","[  0   0 193   4   4   0  19 263 179  61  35  91   9   0   0  35  56  92
  49 160  97 101   0  80 190   0   1 451  32  98]"
11,9523397.152835954,290229.69933892787,"[-43   0   0  87  96   0 -54 -85  93  83   0 -62  88   0   0   0 -21 -83
 -30  86 -31  16   0  98 -98   1 -46 -91  51   0]","[ 43  70 260   0   0   0  62 348 190 102   0 143  93   0   0   0  58 148
 134 156 138 122   0  46 273  84  46 456   0  39]"
12,9813626.852174882,-79276.86139909364,"[  0 -49  38 -87   0   0  -8  72   0   0   0  43   0  61   0   0  46   3
   1 -15   0  39  62 -48 -20 -85   0  90 -17  54]","[  0  70 260  87  96   0   8 263 283 185   0  81 181   0   0   0  37  65
 104 242 107 138   0 144 175  85   0 365  51  39]"
13,9734349.990775788,14376.446718811989,"[  0   0 -39  69   0  62  20   0  -2   0   0 -60 -32 -61  95   0 -36 -58
  72  55 -72  32 -37  72   0   2  92 -67 -13 -93]","[  0  21 298   0  96   0   0 335 283 185   0 124 181  61   0   0  83  68
 105 227 107 177  62  96 155   0   0 455  34  93]"
