,account_value,reward,actions,n_shares
0,21411147.316677578,192623.96649224684,"[ 100    5    0    0    0  100    5 -100    0    0    0  100  100    0
    0  -78  100    0 -100    0  100  100    0 -100  -52 -100 -100    8
    0    0]","[   0    0    0    0    0    0    5  405    0    0    0    0    0    0
    0  203    0    0  560    0    0    0    0  870 1323 2751 2460    0
    0    0]"
1,21603771.283169825,804579.6702281833,"[  82    1    0    0    0 -100  100 -100    0    0    0    0  100  100
    0  -99    0    0    0    0  100  100  100 -100  100 -100 -100    6
    0    0]","[ 100    5    0    0    0  100   10  305    0    0    0  100  100    0
    0  125  100    0  460    0  100  100    0  770 1271 2651 2360    8
    0    0]"
2,22408350.953398008,372449.9146079384,"[ 100    0    0    0    0    0    0 -100    0    0    0   55    0  -61
    0  -26  100    0  -28    0  100  100  -38 -100    0 -100 -100  -14
    0    0]","[ 182    6    0    0    0    0  110  205    0    0    0  100  200  100
    0   26  100    0  460    0  200  200  100  670 1371 2551 2260   14
    0    0]"
3,22780800.868005946,152703.27573547512,"[ 100    0    0    0    0    0    0 -100    0    0    0    8    1    0
    0    0    0    0 -100    0  100  100  100 -100    0 -100 -100    0
    0    0]","[ 282    6    0    0    0    0  110  105    0    0    0  155  200   39
    0    0  200    0  432    0  300  300   62  570 1371 2451 2160    0
    0    0]"
4,22933504.14374142,625355.9255910963,"[   0    0    0    0    0    0    0   -5    0    0    0    0    0    2
    0    0   11    0 -100    0  100  100  -62 -100  100 -100 -100    1
    0    0]","[ 382    6    0    0    0    0  110    5    0    0    0  163  201   39
    0    0  200    0  332    0  400  400  162  470 1371 2351 2060    0
    0    0]"
5,23558860.069332518,-236388.22596234456,"[   0    0    0    0    0    0    0    0    0    0    0    0    0    0
    0    0    0    0  -78    0    0    0    0 -100    0 -100 -100   92
   18    0]","[ 382    6    0    0    0    0  110    0    0    0    0  163  201   41
    0    0  211    0  232    0  500  500  100  370 1471 2251 1960    1
    0    0]"
6,23322471.843370173,237501.6069286354,"[   0    0    0    0    0    0    0    0    0    0    0    0    0    0
    0    0    0    0  -53    0  100   74  -70 -100  100 -100 -100    3
    0    0]","[ 382    6    0    0    0    0  110    0    0    0    0  163  201   41
    0    0  211    0  154    0  500  500  100  270 1471 2151 1860   93
   18    0]"
7,23559973.45029881,-182449.31232324243,"[   0    0    0    0    0    0    0    0    0    0    0    0    1  -31
    0    0    5    0 -100    0  100  100  -30 -100  100 -100 -100    1
    0    0]","[ 382    6    0    0    0    0  110    0    0    0    0  163  201   41
    0    0  211    0  101    0  600  574   30  170 1571 2051 1760   96
   18    0]"
8,23377524.137975566,-1428.7950509004295,"[   0    0    0    0    0    0    0    0    0    0    0    2    0    0
    0    0   32    0   -1    0  100  100    0  -70  100 -100 -100    4
  -18    0]","[ 382    6    0    0    0    0  110    0    0    0    0  163  202   10
    0    0  216    0    1    0  700  674    0   70 1671 1951 1660   97
   18    0]"
9,23376095.342924666,-8787.814311813563,"[   0    0    0    0    0    0    0    0    0    0    0    0    0    0
    0    0    0    0    0    0    1    1    0    0   46 -100 -100    3
    0    0]","[ 382    6    0    0    0    0  110    0    0    0    0  165  202   10
    0    0  248    0    0    0  800  774    0    0 1771 1851 1560  101
    0    0]"
10,23367307.528612852,-295524.3718036823,"[   0    0    0    0    0    0    0    0    0    0    0    0    0    0
    0    0    0    0    0    0    1    0    0    0   47 -100 -100  -29
    0    0]","[ 382    6    0    0    0    0  110    0    0    0    0  165  202   10
    0    0  248    0    0    0  801  775    0    0 1817 1751 1460  104
    0    0]"
11,23071783.15680917,137273.23694604635,"[   0    0    0    0    0    0    0    0    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0    0   48 -100 -100    3
    0    0]","[ 382    6    0    0    0    0  110    0    0    0    0  165  202   10
    0    0  248    0    0    0  802  775    0    0 1864 1651 1360   75
    0    0]"
12,23209056.393755216,124753.48115513474,"[   0    0    0    0    0    0    0    0    0    0    0    0    0  -10
    0    0    0    0    0    0    1    1    0    0   52 -100 -100    3
    0    0]","[ 382    6    0    0    0    0  110    0    0    0    0  165  202   10
    0    0  248    0    0    0  802  775    0    0 1912 1551 1260   78
    0    0]"
13,23333809.87491035,140632.33709247038,"[   0    0    0    0    0    0    0    0    0    0    0   18    1    0
    0    0 -100    0    0    0  100  100    0    0  100 -100 -100  100
    0    0]","[ 382    6    0    0    0    0  110    0    0    0    0  165  202    0
    0    0  248    0    0    0  803  776    0    0 1964 1451 1160   81
    0    0]"
14,23474442.21200282,154337.9114109017,"[   0    0    0    0    0    0    0    0    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0    0   48 -100 -100    7
    0    0]","[ 382    6    0    0    0    0  110    0    0    0    0  183  203    0
    0    0  148    0    0    0  903  876    0    0 2064 1351 1060  181
    0    0]"
15,23628780.123413723,119996.7532855235,"[   0    0    0    0    0    0    0    0    0    0    0    0    0    0
    0    0    0    0    0    0   81    0    0    0    0 -100 -100  100
    0    0]","[ 382    6    0    0    0    0  110    0    0    0    0  183  203    0
    0    0  148    0    0    0  903  876    0    0 2112 1251  960  188
    0    0]"
16,23748776.876699246,319777.3990472704,"[   0    0    0    0    0    0    0    0    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0    0   47 -100 -100    2
    0    0]","[ 382    6    0    0    0    0  110    0    0    0    0  183  203    0
    0    0  148    0    0    0  984  876    0    0 2112 1151  860  288
    0    0]"
17,24068554.275746517,-937367.5479038693,"[   0    0    0    0    0    0    0    0    0    0    0    0    0    1
    0    0    0    0    0    0   35  100    0    0    0 -100 -100    0
    0    0]","[ 382    6    0    0    0    0  110    0    0    0    0  183  203    0
    0    0  148    0    0    0  984  876    0    0 2159 1051  760  290
    0    0]"
18,23131186.727842648,-330324.4741286598,"[   0    0    0    0    0    0    0    0    0    0    0  -28    0    0
    0    0    0    0    0    0    0    0    0    0    6 -100 -100 -100
    7    0]","[ 382    6    0    0    0    0  110    0    0    0    0  183  203    1
    0    0  148    0    0    0 1019  976    0    0 2159  951  660  290
    0    0]"
19,22800862.253713988,-197518.52443084866,"[   0    0    0    0    0    0    0    0    0    0    0    0    0   -1
    0    0    0    0    0    0    0   17    0    0  100 -100 -100  100
   -7    0]","[ 382    6    0    0    0    0  110    0    0    0    0  155  203    1
    0    0  148    0    0    0 1019  976    0    0 2165  851  560  190
    7    0]"
20,22603343.72928314,-381045.7164823748,"[   0    0    0    0    0    0    0    0    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0    0   49 -100 -100    3
    0    0]","[ 382    6    0    0    0    0  110    0    0    0    0  155  203    0
    0    0  148    0    0    0 1019  993    0    0 2265  751  460  290
    0    0]"
21,22222298.012800764,-40986.875220641494,"[   0    0    0    0    0    0    0    0    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0    0   50 -100 -100    7
    0    0]","[ 382    6    0    0    0    0  110    0    0    0    0  155  203    0
    0    0  148    0    0    0 1019  993    0    0 2314  651  360  293
    0    0]"
22,22181311.137580123,-398289.38780511543,"[   0    0    0    0    0    0    0    0    0    0    0    0    1    0
    0    0    0    0    0    0    1    0    0    0   49 -100 -100    0
    0    0]","[ 382    6    0    0    0    0  110    0    0    0    0  155  203    0
    0    0  148    0    0    0 1019  993    0    0 2364  551  260  300
    0    0]"
23,21783021.749775007,528130.8575540148,"[   0    0    0    0    0    0    0    0    0    0    0    0    0    0
    0    0    0    0    0    0    1    1    0    0   49 -100 -100    0
    0    0]","[ 382    6    0    0    0    0  110    0    0    0    0  155  204    0
    0    0  148    0    0    0 1020  993    0    0 2413  451  160  300
    0    0]"
24,22311152.607329022,-247549.7656305246,"[   0    0    0    0    0    0    0    0    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0    0   30 -100  -60   14
    0    0]","[ 382    6    0    0    0    0  110    0    0    0    0  155  204    0
    0    0  148    0    0    0 1021  994    0    0 2462  351   60  300
    0    0]"
25,22063602.841698498,-398161.8895302415,"[   0    0    0    0    0    0    0    0    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0    0    2 -100    0   22
    0    0]","[ 382    6    0    0    0    0  110    0    0    0    0  155  204    0
    0    0  148    0    0    0 1021  994    0    0 2492  251    0  314
    0    0]"
26,21665440.952168256,5815.347073927522,"[   0    0    0    0    0    0    0    0    0    0    0    0    0    0
    0    0    0    0    0    0    1    1    0    0    2 -100    0    3
    0    0]","[ 382    6    0    0    0    0  110    0    0    0    0  155  204    0
    0    0  148    0    0    0 1021  994    0    0 2494  151    0  336
    0    0]"
27,21671256.299242184,802063.5283147581,"[  0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0 -33   0   0  10 -51   0  20   0   0]","[ 382    6    0    0    0    0  110    0    0    0    0  155  204    0
    0    0  148    0    0    0 1022  995    0    0 2496   51    0  339
    0    0]"
28,22473319.82755694,312598.1713434756,"[ 0 -6  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  1  0  0
  2  0  0  6  0  0]","[ 382    6    0    0    0    0  110    0    0    0    0  155  204    0
    0    0  148    0    0    0 1022  962    0    0 2506    0    0  359
    0    0]"
29,22785917.998900417,557985.3370819092,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],"[ 382    0    0    0    0    0  110    0    0    0    0  155  204    0
    0    0  148    0    0    0 1022  963    0    0 2508    0    0  365
    0    0]"
30,23343903.335982326,-511052.4646759033,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],"[ 382    0    0    0    0    0  110    0    0    0    0  155  204    0
    0    0  148    0    0    0 1022  963    0    0 2508    0    0  365
    0    0]"
31,22832850.871306423,653365.225402832,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],"[ 382    0    0    0    0    0  110    0    0    0    0  155  204    0
    0    0  148    0    0    0 1022  963    0    0 2508    0    0  365
    0    0]"
32,23486216.096709255,303558.4452972412,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],"[ 382    0    0    0    0    0  110    0    0    0    0  155  204    0
    0    0  148    0    0    0 1022  963    0    0 2508    0    0  365
    0    0]"
33,23789774.542006496,-704833.5203704834,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],"[ 382    0    0    0    0    0  110    0    0    0    0  155  204    0
    0    0  148    0    0    0 1022  963    0    0 2508    0    0  365
    0    0]"
34,23084941.021636013,540966.6741790771,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],"[ 382    0    0    0    0    0  110    0    0    0    0  155  204    0
    0    0  148    0    0    0 1022  963    0    0 2508    0    0  365
    0    0]"
35,23625907.69581509,-248416.60145568848,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],"[ 382    0    0    0    0    0  110    0    0    0    0  155  204    0
    0    0  148    0    0    0 1022  963    0    0 2508    0    0  365
    0    0]"
36,23377491.0943594,737677.423904419,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],"[ 382    0    0    0    0    0  110    0    0    0    0  155  204    0
    0    0  148    0    0    0 1022  963    0    0 2508    0    0  365
    0    0]"
37,24115168.51826382,85982.56427001953,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],"[ 382    0    0    0    0    0  110    0    0    0    0  155  204    0
    0    0  148    0    0    0 1022  963    0    0 2508    0    0  365
    0    0]"
38,24201151.08253384,683094.7365063168,"[  0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   1   0   0   1   0   0 -42   0   0]","[ 382    0    0    0    0    0  110    0    0    0    0  155  204    0
    0    0  148    0    0    0 1022  963    0    0 2508    0    0  365
    0    0]"
39,24884245.819040157,-667819.9962953925,"[  0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   1   1   0   0   1   0   0 -49   0   0]","[ 382    0    0    0    0    0  110    0    0    0    0  155  204    0
    0    0  148    0    0    0 1022  964    0    0 2509    0    0  323
    0    0]"
