,account_value,reward,actions,n_shares
0,9714898.215309571,-17881.25107594207,"[   0 -100   68    0    0    0  -17  -44    0  -53    0  -74  -23    0
    0 -100  -58    0    0  -40  -51    0    0    0    0   -2    0  100
  100   -3]","[  7 300   0 100   0   0  17  44  78  53   0  83 192   0   0 142 100   0
   0  90  61  51   0  91   0   2   0   0   0 420]"
1,9697016.96423363,10584.068549619988,"[  -7   62  100   50  100    3    0    0  -78    0   16   -9  -52    0
  100  -15  -42    0    0  -18  -10  -51    0  -91  100    0   18 -100
  -66  100]","[  7 200  68 100   0   0   0   0  78   0   0   9 169   0   0  42  42   0
   0  50  10  51   0  91   0   0   0 100 100 417]"
2,9707601.03278325,-47474.21242748946,"[  0 -95   0 -12 100  -3   0   0   0   0 -16 100 -71   7 -15 -27  95   0
   0   7   0   0   0   0 100  10 -18 100   0   0]","[  0 262 168 150 100   3   0   0   0   0  16   0 117   0 100  27   0   0
   0  32   0   0   0   0 100   0  18   0  34 517]"
3,9660126.82035576,4351.272913467139,"[  0  -7   0 -65   0   0   0   0   0   0   0 -10   3  -7 -67   0   0   0
   0  70 100   0   0 100   0   1 100 -86 -34 -17]","[  0 167 168 138 200   0   0   0   0   0   0 100  46   7  85   0  95   0
   0  39   0   0   0   0 200  10   0 100  34 517]"
4,9664478.093269227,80552.17645012029,"[   0  -23   30  100  100    0   16   33    0  100    0  -67   13   32
  100    0  -95    0   29 -100  100    0    0  -75  -35   72 -100  -14
   45 -100]","[  0 160 168  73 200   0   0   0   0   0   0  90  49   0  18   0  95   0
   0 109 100   0   0 100 200  11 100  14   0 500]"
5,9745030.269719347,-95111.71443868987,"[   0    0 -100   -3    0    0    0    0    0    0    0  -22    0    0
  -54    0    0    0  -29   -9  -71    0   22  -25    0    5    0    0
   82 -100]","[  0 137 198 173 300   0  16  33   0 100   0  23  62  32 118   0   0   0
  29   9 200   0   0  25 165  83   0   0  45 400]"
6,9649918.555280657,67240.96176084876,"[  0 -64 -93   0 -13   0 -16 -33   0   2  17  -1   2 100 -46   0   0   0
   0   0 -74   0 -22   0 100 -78   0   0   0 -21]","[  0 137  98 170 300   0  16  33   0 100   0   1  62  32  64   0   0   0
   0   0 129   0  22   0 165  88   0   0 127 300]"
7,9717159.517041506,11028.085582215339,"[   0  -73    0    0   -7    0    0    0    0    0  -17    0    1    0
  -18    0    0    0    0    0    0    0    0    0   12  -10    0    0
   68 -100]","[  0  73   5 170 287   0   0   0   0 102  17   0  64 132  18   0   0   0
   0   0  55   0   0   0 265  10   0   0 127 279]"
8,9728187.602623722,-43758.14699286036,"[   0    0  100   54   68    0    0    7   43  -11    0    0   -3  -57
  100    0    0    0   51    0  -55    0  100    4  -22    0   47  100
 -100 -100]","[  0   0   5 170 280   0   0   0   0 102   0   0  65 132   0   0   0   0
   0   0  55   0   0   0 277   0   0   0 195 179]"
9,9684429.455630861,-190189.25373696722,"[  0   0   0 -56   0   0   0  -7   0 -13   0   0   0 -75   0   0   0   0
   3   0   0   0   0  -4   0   1 -28   5  81 100]","[  0   0 105 224 348   0   0   7  43  91   0   0  62  75 100   0   0   0
  51   0   0   0 100   4 255   0  47 100  95  79]"
10,9494240.201893894,-100413.68327348307,"[  0   0   0   0 -16   0   0   0 -43   0   0   0 -62   0   9   0   0   0
   0   0   0   0 -29   0   0  -1 100   3   0   0]","[  0   0 105 168 348   0   0   0  43  78   0   0  62   0 100   0   0   0
  54   0   0   0 100   0 255   1  19 105 176 179]"
11,9393826.518620411,232567.32198403962,"[   0    0  -46  100  100    0    0    0    0    8   30    0    0    0
  -37    0    0  100  100    0    0  100  -14    0 -100    3  100   -5
  -49 -100]","[  0   0 105 168 332   0   0   0   0  78   0   0   0   0 109   0   0   0
  54   0   0   0  71   0 255   0 119 108 176 179]"
12,9626393.84060445,-30133.69184141606,"[   0    0    0    0    0    0    0    0    0  -73  -16    0    0    0
  -72    0    0 -100    0    0    0    0    0    0    0   -3  -68   39
   56  -13]","[  0   0  59 268 432   0   0   0   0  86  30   0   0   0  72   0   0 100
 154   0   0 100  57   0 155   3 219 103 127  79]"
13,9596260.148763034,-9717.26553942822,"[  19    0  -59  -16   60  100    0    0    0  -13  -14   64   66   18
   20   50    0  100  100  100   93    6  -55    0  100    0 -100 -100
 -100  -64]","[  0   0  59 268 432   0   0   0   0  13  14   0   0   0   0   0   0   0
 154   0   0 100  57   0 155   0 151 142 183  66]"
14,9586542.883223606,-155924.40717889555,"[   3   87    5  -96   89 -100    0    0   36   39   39   26   43   45
   -6  -50    0  100 -100 -100  -31   19   -2    0  -21   60  -51  100
  -83   -2]","[ 19   0   0 252 492 100   0   0   0   0   0  64  66  18  20  50   0 100
 254 100  93 106   2   0 255   0  51  42  83   2]"
15,9430618.47604471,-7722.005160460249,"[ -22    0   -5 -100  -15  100    0    0    0  100    0    0   24  -63
  -14  100   84  -45  -57    0  100    0    0    0  100    1    0  100
   51    0]","[ 22  87   5 156 581   0   0   0  36  39  39  90 109  63  14   0   0 200
 154   0  62 125   0   0 234  60   0 142   0   0]"
16,9422896.47088425,-121721.77786969021,"[   0   49    0  -42   30   -1    0    0  -36  100  -39   26  -34    0
  100   11  -84  100  100   27  -32  -25    0   52  100   14    0 -100
  -31    0]","[  0  87   0  56 566 100   0   0  36 139  39  90 133   0   0 100  84 155
  97   0 162 125   0   0 334  61   0 242  51   0]"
17,9301174.69301456,230242.30635141023,"[  34  -23    0   69  100  -71    0   48   23 -100   43 -100   10    0
   59    5    0   33  -13  -27 -100  -17   86   77   25  100    0 -100
  -20    0]","[  0 136   0  14 596  99   0   0   0 239   0 116  99   0 100 111   0 255
 197  27 130 100   0  52 434  75   0 142  20   0]"
18,9531416.99936597,-11640.67830684781,"[-34   0   0 -83   1  68   0 100   0   0   0   0 100   0 -69   0   0 -46
   0   0 100 100 100 100 -27   9 100 -42   0   0]","[ 34 113   0  83 696  28   0  48  23 139  43  16 109   0 159 116   0 288
 184   0  30  83  86 129 459 175   0  42   0   0]"
19,9519776.321059123,111163.66376110911,"[   0 -100    0    0 -100  -36    0  -98    0  -40   19    0   63    0
  100   -4    0    0 -100    0  -34  100 -100  -44    0    0    0    0
    0    0]","[  0 113   0   0 697  96   0 148  23 139  43  16 209   0  90 116   0 242
 184   0 130 183 186 229 432 184 100   0   0   0]"
20,9630939.984820232,-238640.51683759317,"[  0   0   0   0   0 -39   0   0 -23 -11 -45 -16   0   0   0 -46   0  -7
 -84  41   7   0 -86   0   0   1   0 100 100   0]","[  0  13   0   0 597  60   0  50  23  99  62  16 272   0 190 112   0 242
  84   0  96 283  86 185 432 184 100   0   0   0]"
21,9392299.467982639,-81821.93918153271,"[   0    0    0    0    0  -21    0  -43    0    0  -17    0    2    0
    0  -66    0  -31   30  -41  100 -100    0 -100 -100  -41  -28    2
  100    0]","[  0  13   0   0 597  21   0  50   0  88  17   0 272   0 190  66   0 235
   0  41 103 283   0 185 432 185 100 100 100   0]"
22,9310477.528801106,-242261.39213149995,"[  0 -13   0   0   0   0   0   0   0 -88   0   0   2   0   0   0   0   0
   0   0 -36 -79   0   5   0 -33 -55   2   0  39]","[  0  13   0   0 597   0   0   7   0  88   0   0 274   0 190   0   0 204
  30   0 203 183   0  85 332 144  72 102 200   0]"
23,9068216.136669606,202546.025665313,"[   0    0    0    0    0    0    0    0    0    0    0    0    2    0
  -29    0    0  -76  -15    0    4 -100    0  -90 -100  -74    0    0
    0   73]","[  0   0   0   0 597   0   0   7   0   0   0   0 276   0 190   0   0 204
  30   0 167 104   0  90 332 111  17 104 200  39]"
24,9270762.162334919,-114557.02846886404,"[  0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0 -67
   0   0 -28  -4   0   0   0 -37  -4  84  10  -7]","[  0   0   0   0 597   0   0   7   0   0   0   0 278   0 161   0   0 128
  15   0 171   4   0   0 232  37  17 104 200 112]"
25,9156205.133866055,242482.19251872227,"[  0   0   0   0   0   0   0   0   0   0   0   0   0   0   1   0   0 -61
 -15   0   0   0   0   0   0   0   3 -46   7   0]","[  0   0   0   0 597   0   0   7   0   0   0   0 278   0 161   0   0  61
  15   0 143   0   0   0 232   0  13 188 210 105]"
