,account_value,reward,actions,n_shares
0,9235264.616175314,148440.77600488253,"[-47 -52   0  35 -19  49 -41 -25   0  97   0  53   0   0   1   0   0   0
   0  -7  91   0  58  -2   0   0   0  90   0  49]","[ 74  52 291   0  19   0  41 158 194   0   0 310   0   0   0   0   0 268
   0 258 505   1   0   3   0   0   0 282   0   0]"
1,9383705.392180197,-15754.160903105512,"[  0   0 -87 -35   0 -19  76 -30 -78 -13   0 -76   0   0   0   0   0 -86
   0 -16   0  -1 -58  -1   0  79   0 -11   0   0]","[ 27   0 291  35   0  49   0 133 194  97   0 363   0   0   1   0   0 268
   0 251 596   1  58   1   0   0   0 372   0  49]"
2,9367951.231277091,217946.2948464509,"[  0   0 -74   0   0   0   0 -48 -41   0   0   0   3   0  -1   0   0 -18
   0  38 -67   0   0   0   0 -27   0 -94   0 -22]","[ 27   0 204   0   0  30  76 103 116  84   0 287   0   0   1   0   0 182
   0 235 596   0   0   0   0  79   0 361   0  49]"
3,9585897.526123542,-182819.4200579375,"[-27  36  50  96  89  83 -76  12 -50 -21   0  27  -3   0   2   0  45 -84
   0  -5  -9   0  58   0   0  91   0 -85   0  74]","[ 27   0 130   0   0  30  76  55  75  84   0 287   3   0   0   0   0 164
   0 273 529   0   0   0   0  52   0 267   0  27]"
4,9403078.106065605,-135824.89386322163,"[  0  68  67 -47  -4 -33  60  75 -25 -12   0  -7  77   0  -2   0 -45   0
   0 -68   0  71  69  10   0   9   0   0  11 -28]","[  0  36 180  96  89 113   0  67  25  63   0 314   0   0   2   0  45  80
   0 268 520   0  58   0   0 143   0 182   0 101]"
5,9267253.212202383,24537.336858322844,"[  0   0   0  -1   0   0 -30   0   0 -10   0 -16 -33   0   0   0   0   0
   0  56   0   2   0 -10   0 -73   0 -34   0 -59]","[  0 104 247  49  85  80  60 142   0  51   0 307  77   0   0   0   0  80
   0 200 520  71 127  10   0 152   0 182  11  73]"
6,9291790.549060706,-133535.76693498157,"[ 62   0  70 -28 -60  55 -30  -1   0  73   0 -56  60   0   0   0   0 -61
  74   3 -68 -19  38  96  52 -31   0 -60  -8  44]","[  0 104 247  48  85  80  30 142   0  41   0 291  44   0   0   0   0  80
   0 256 520  73 127   0   0  79   0 148  11  14]"
7,9158254.782125724,177716.60414095968,"[-62 -39 -52 -20   6 -11  33  92   0  80   0   0 -30  92  94  96   0 -19
 -69 -92 -48  64  97   0 -52  78  63 -88   0 -58]","[ 62 104 317  20  25 135   0 141   0 114   0 235 104   0   0   0   0  19
  74 259 452  54 165  96  52  48   0  88   3  58]"
8,9335971.386266684,-26326.58027824387,"[  0  -6 -58   0 -31  21 -33 -73   0 -67   0   2  38 -66  56   0   0   0
  -5  21  64 -91 -76 -91   0  87   0  81  49   0]","[  0  65 265   0  31 124  33 233   0 194   0 235  74  92  94  96   0   0
   5 167 404 118 262  96   0 126  63   0   3   0]"
9,9309644.80598844,81720.7666680906,"[  0 -50 -59   0   0   0  85 -53   0   0   0 -70   1 -26  -6   0   0   0
   0 -14   0   0 -61  -5   0   0   0   2 -35   0]","[  0  59 207   0   0 145   0 160   0 127   0 237 112  26 150  96   0   0
   0 188 468  27 186   5   0 213  63  81  52   0]"
10,9391365.57265653,-232426.07515686005,"[  0  80 -91   0   0 -34   0  51   0  33   0  78 -46   3  54  14   0  30
  29 -37  72 -27  64   0   0 -46 -63 -37  -9  77]","[  0   9 148   0   0 145  85 107   0 127   0 167 113   0 144  96   0   0
   0 174 468  27 125   0   0 213  63  83  17   0]"
11,9158939.49749967,-90200.10590988211,"[  0 -89   0   0  46  99   0 -44   0 -10   0 -53 -42   0  74   0   0 -30
  91 -16  88   0  79   0  93   0   0 -46  -8 -55]","[  0  89  57   0   0 111  85 158   0 160   0 245  67   3 198 110   0  30
  29 137 540   0 189   0   0 167   0  46   8  77]"
12,9068739.391589789,69049.96777185053,"[  0   0   0   0   0 -55   0 -93   0   0   0   0   1  -3 -83  58   0   0
 -82   0 -46   0   0   0   0 -41   0   0   0 -19]","[  0   0  57   0  46 210  85 114   0 150   0 192  25   3 272 110   0   0
 120 121 628   0 268   0  93 167   0   0   0  22]"
13,9137789.35936164,-100489.76618714817,"[ 14   0 -13   0  54  38 -69  62   3 -69   8  71  72  75  54 -68   0  80
 -38 -29  34   0 -97   0  -3   7  12   0   0  -3]","[  0   0  57   0  46 155  85  21   0 150   0 192  26   0 189 168   0   0
  38 121 582   0 268   0  93 126   0   0   0   3]"
14,9037299.593174491,262877.2695929725,"[-14  19   0   0 -34 -19  76 -81   0  -6   3   0 -68 -21   0  74   0   0
   0 -39 -17   0   0   0   0   3  -2   0   0   0]","[ 14   0  44   0 100 193  16  83   3  81   8 263  98  75 243 100   0  80
   0  92 616   0 171   0  90 133  12   0   0   0]"
15,9300176.862767464,53957.69483886659,"[  0  57  14  27 -62 -88  25  -2  -3  21 -11   0 -30  80  34  -3   0 -55
   0  34   0   0 -66   0 -48  64 -10   0   0   0]","[  0  19  44   0  66 174  92   2   3  75  11 263  30  54 243 174   0  80
   0  53 599   0 171   0  90 136  10   0   0   0]"
16,9354134.55760633,-3535.41426904127,"[ 12   0   0   0   0   0   0   0   0 -96   7 -30   0   0   0   0   0   0
   0   0   0   0 -68   0   0 -24   0   0   0   0]","[  0  76  58  27   4  86 117   0   0  96   0 263   0 134 277 171   0  25
   0  87 599   0 105   0  42 200   0   0   0   0]"
