Date,Issue,Code,Sector,Component Weight (TOPIX),New Index Series Code
20250331,"HAGIWARA ELECTRIC HOLDINGS CO.,LTD.",7467,"Wholesale Trade",0.0040%,TOPIX Small 2
20250331,"ALBIS Co.,Ltd.",7475,"Retail Trade",0.0025%,TOPIX Small 2
20250331,"AS ONE CORPORATION",7476,"Wholesale Trade",0.0201%,TOPIX Mid400
20250331,"SUZUDEN CORPORATION",7480,"Wholesale Trade",0.0023%,TOPIX Small 2
20250331,"SHIMOJIMA Co.,Ltd.",7482,"Wholesale Trade",0.0023%,TOPIX Small 2
20250331,"DOSHISHA CO.,LTD.",7483,"Wholesale Trade",0.0057%,TOPIX Small 2
20250331,"KOHSOKU CORPORATION",7504,"Wholesale Trade",0.0034%,TOPIX Small 2
20250331,"G-7 HOLDINGS Inc.",7508,"Retail Trade",0.0040%,TOPIX Small 2
20250331,"TAKEBISHI CORPORATION",7510,"Wholesale Trade",0.0022%,TOPIX Small 2
20250331,"Aeon Hokkaido Corporation",7512,"Retail Trade",0.0058%,TOPIX Small 1
20250331,"Kojima Co.,Ltd.",7513,"Retail Trade",0.0058%,TOPIX Small 1
20250331,"KOHNAN SHOJI CO.,LTD.",7516,"Retail Trade",0.0115%,TOPIX Small 1
20250331,"Eco's Co.,Ltd.",7520,"Retail Trade",0.0023%,TOPIX Small 2
20250331,"WATAMI CO.,LTD.",7522,"Retail Trade",0.0035%,TOPIX Small 2
20250331,"RIX CORPORATION",7525,"Wholesale Trade",0.0019%,TOPIX Small 2
20250331,"SystemSoft Corporation",7527,"Information & Communication",0.0007%,TOPIX Small 2
20250331,"Pan Pacific International Holdings Corporation",7532,"Retail Trade",0.2309%,TOPIX Mid400
20250331,"MARUBUN CORPORATION",7537,"Wholesale Trade",0.0025%,TOPIX Small 2
20250331,"NISHIMATSUYA CHAIN Co.,Ltd.",7545,"Retail Trade",0.0123%,TOPIX Small 1
20250331,"ZENSHO HOLDINGS CO.,LTD.",7550,"Retail Trade",0.1278%,TOPIX Mid400
20250331,"HAPPINET CORPORATION",7552,"Wholesale Trade",0.0110%,TOPIX Small 1
20250331,"KOURAKUEN CORPORATION",7554,"Retail Trade",0.0025%,TOPIX Small 2
20250331,"HASHIMOTO SOGYO HOLDINGS CO.,LTD.",7570,"Wholesale Trade",0.0013%,TOPIX Small 2
20250331,"Japan Lifeline Co.,Ltd.",7575,"Wholesale Trade",0.0114%,TOPIX Small 1
20250331,"SAIZERIYA CO.,LTD.",7581,"Retail Trade",0.0177%,TOPIX Small 1
20250331,"TAKASHO CO.,LTD.",7590,"Wholesale Trade",0.0009%,TOPIX Small 2
20250331,"VT HOLDINGS CO.,LTD.",7593,"Retail Trade",0.0054%,TOPIX Small 1
20250331,"ARGO GRAPHICS Inc.",7595,"Information & Communication",0.0126%,TOPIX Small 2
20250331,"UORIKI CO.,LTD.",7596,"Retail Trade",0.0023%,TOPIX Small 2
20250331,"IDOM Inc.",7599,"Wholesale Trade",0.0113%,TOPIX Small 1
20250331,"Japan Medical Dynamic Marketing,INC.",7600,"Precision Instruments",0.0012%,TOPIX Small 2
20250331,"FUJI CORPORATION",7605,"Retail Trade",0.0025%,TOPIX Small 2
20250331,"UNITED ARROWS LTD.",7606,"Retail Trade",0.0063%,TOPIX Small 1
20250331,"Shinwa Co.,Ltd.",7607,"Wholesale Trade",0.0049%,TOPIX Small 2
20250331,"Daitron Co.,Ltd.",7609,"Wholesale Trade",0.0040%,TOPIX Small 2
20250331,"HIDAY HIDAKA Corp.",7611,"Retail Trade",0.0125%,TOPIX Small 1
20250331,"SIIX CORPORATION",7613,"Wholesale Trade",0.0043%,TOPIX Small 1
20250331,"COLOWIDE CO.,LTD.",7616,"Retail Trade",0.0271%,TOPIX Mid400
20250331,"OHASHI TECHNICA INC.",7628,"Wholesale Trade",0.0024%,TOPIX Small 2
20250331,"ICHIBANYA CO.,LTD.",7630,"Retail Trade",0.0102%,TOPIX Small 1
20250331,"Hakudo Co.,Ltd.",7637,"Wholesale Trade",0.0017%,TOPIX Small 2
20250331,"SUGI HOLDINGS Co.,LTD.",7649,"Retail Trade",0.0422%,TOPIX Mid400
20250331,"YAKUODO HOLDINGS Co.,Ltd.",7679,"Retail Trade",0.0026%,TOPIX Small 2
20250331,"WA,Inc.",7683,"Retail Trade",0.0007%,TOPIX Small 2
20250331,"Shimadzu Corporation",7701,"Precision Instruments",0.1418%,TOPIX Mid400
20250331,"JMS CO.,LTD.",7702,"Precision Instruments",0.0011%,TOPIX Small 2
20250331,"NAGANO KEIKI CO.,LTD.",7715,"Precision Instruments",0.0033%,TOPIX Small 1
20250331,"V Technology Co.,Ltd.",7717,"Precision Instruments",0.0030%,TOPIX Small 2
20250331,"STAR MICRONICS CO.,LTD.",7718,"Machinery",0.0087%,TOPIX Small 1
20250331,"TOKYO KEIKI INC.",7721,"Precision Instruments",0.0062%,TOPIX Small 1
20250331,"Aichi Tokei Denki Co.,Ltd.",7723,"Precision Instruments",0.0025%,TOPIX Small 2
20250331,"INTER ACTION Corporation",7725,"Precision Instruments",0.0020%,TOPIX Small 2
20250331,"TOKYO SEIMITSU CO.,LTD.",7729,"Precision Instruments",0.0431%,TOPIX Mid400
20250331,"MANI,INC.",7730,"Precision Instruments",0.0138%,TOPIX Mid400
20250331,"NIKON CORPORATION",7731,"Precision Instruments",0.0617%,TOPIX Mid400
20250331,"TOPCON CORPORATION",7732,"Precision Instruments",0.0488%,TOPIX Mid400
20250331,"OLYMPUS CORPORATION",7733,"Precision Instruments",0.2849%,TOPIX Large70
20250331,"RIKEN KEIKI CO.,LTD.",7734,"Precision Instruments",0.0096%,TOPIX Small 1
20250331,"SCREEN Holdings Co.,Ltd.",7735,"Electric Appliances",0.1059%,TOPIX Mid400
20250331,"CANON ELECTRONICS INC.",7739,"Electric Appliances",0.0062%,TOPIX Small 1
20250331,"Tamron Co.,Ltd.",7740,"Precision Instruments",0.0126%,TOPIX Small 1
20250331,"HOYA CORPORATION",7741,"Precision Instruments",0.8599%,TOPIX Core30
20250331,"Noritsu Koki Co.,Ltd.",7744,"Precision Instruments",0.0118%,TOPIX Small 1
20250331,"A&D HOLON Holdings Company,Limited",7745,"Precision Instruments",0.0061%,TOPIX Small 1
20250331,"ASAHI INTECC CO.,LTD.",7747,"Precision Instruments",0.0774%,TOPIX Mid400
20250331,"CANON INC.",7751,"Electric Appliances",0.6120%,TOPIX Large70
20250331,"RICOH COMPANY,LTD.",7752,"Electric Appliances",0.1065%,TOPIX Mid400
20250331,"Citizen Watch Co.,Ltd.",7762,"Precision Instruments",0.0217%,TOPIX Small 1
20250331,"Menicon Co.,Ltd.",7780,"Precision Instruments",0.0123%,TOPIX Small 1
20250331,"PARAMOUNT BED HOLDINGS CO.,LTD.",7817,"Other Products",0.0141%,TOPIX Small 1
20250331,"TRANSACTION CO.,Ltd.",7818,"Other Products",0.0039%,TOPIX Small 2
20250331,"NIHON FLUSH CO.,LTD.",7820,"Other Products",0.0018%,TOPIX Small 2
20250331,"MAEDA KOSEN CO.,LTD.",7821,"Other Products",0.0103%,TOPIX Small 1
20250331,"ARTNATURE INC.",7823,"Other Products",0.0021%,TOPIX Small 2
20250331,"FURUYA METAL CO.,LTD.",7826,"Other Products",0.0060%,TOPIX Small 1
20250331,"Bandai Namco Holdings Inc.",7832,"Other Products",0.3589%,TOPIX Large70
20250331,"SHOEI CO.,LTD.",7839,"Other Products",0.0126%,TOPIX Small 1
20250331,"FRANCE BED HOLDINGS CO.,LTD.",7840,"Other Products",0.0049%,TOPIX Small 2
20250331,"Marvelous Inc.",7844,"Information & Communication",0.0023%,TOPIX Small 2
20250331,"PILOT CORPORATION",7846,"Other Products",0.0168%,TOPIX Mid400
20250331,"HAGIHARA INDUSTRIES INC.",7856,"Other Products",0.0027%,TOPIX Small 2
20250331,"Avex Inc.",7860,"Information & Communication",0.0064%,TOPIX Small 1
20250331,"FUJI SEAL INTERNATIONAL,INC.",7864,"Other Products",0.0155%,TOPIX Small 1
20250331,"TOMY COMPANY,LTD.",7867,"Other Products",0.0385%,TOPIX Mid400
20250331,"KOSAIDO Holdings Co.,Ltd.",7868,"Other Products",0.0052%,TOPIX Small 2
20250331,"LEC,INC.",7874,"Chemicals",0.0040%,TOPIX Small 2
20250331,"SANKO GOSEI LTD.",7888,"Chemicals",0.0022%,TOPIX Small 2
20250331,"PRONEXUS INC.",7893,"Other Products",0.0034%,TOPIX Small 2
20250331,"TOPPAN Holdings Inc.",7911,"Other Products",0.1404%,TOPIX Mid400
20250331,"Dai Nippon Printing Co.,Ltd.",7912,"Other Products",0.1161%,TOPIX Mid400
20250331,"Kyodo Printing Co.,Ltd.",7914,"Other Products",0.0031%,TOPIX Small 2
20250331,"Nissha Co.,Ltd.",7915,"Other Products",0.0062%,TOPIX Small 1
20250331,"ZACROS Corporation",7917,"Chemicals",0.0085%,TOPIX Small 2
20250331,"TAKARA & COMPANY LTD.",7921,"Other Products",0.0047%,TOPIX Small 2
20250331,"MAEZAWA KASEI INDUSTRIES CO.,LTD.",7925,"Chemicals",0.0034%,TOPIX Small 2
20250331,"MIRAI INDUSTRY CO.,LTD.",7931,"Chemicals",0.0035%,TOPIX Small 2
